ACC_X 0, ACC_Y 0, ACC_Z 0, Time[ms]
0.110843, 0.970244, 0.243171,  --- 0.000000
0.116214, 0.967314, 0.264656,  --- 9.655000
0.109378, 0.970244, 0.224128,  --- 9.655000
0.121586, 0.974639, 0.246589,  --- 9.655000
0.125004, 0.973174, 0.242195,  --- 19.643000
0.109378, 0.972686, 0.223640,  --- 35.318001
0.109378, 0.967803, 0.234870,  --- 37.351002
0.116703, 0.973662, 0.238288,  --- 40.556000
0.109378, 0.970244, 0.251961,  --- 42.571999
0.109378, 0.968779, 0.249519,  --- 50.573002
0.122074, 0.963408, 0.245125,  --- 55.562000
0.111331, 0.968779, 0.237800,  --- 58.560001
0.109378, 0.966826, 0.240242,  --- 63.561001
0.111820, 0.971221, 0.224616,  --- 74.040001
0.109378, 0.969756, 0.236824,  --- 75.040001
0.116703, 0.972197, 0.234382,  --- 87.789001
0.109378, 0.973662, 0.246589,  --- 89.042999
0.109378, 0.971221, 0.246101,  --- 89.042999
0.109378, 0.977569, 0.244148,  --- 89.042999
0.125492, 0.965849, 0.227546,  --- 89.042999
0.109378, 0.978057, 0.246589,  --- 99.044998
0.117679, 0.966338, 0.226569,  --- 109.046997
0.112308, 0.974639, 0.245125,  --- 109.046997
0.109378, 0.966338, 0.237312,  --- 109.046997
0.113285, 0.969756, 0.232917,  --- 109.046997
0.109378, 0.968779, 0.243660,  --- 119.046997
0.109378, 0.973174, 0.233405,  --- 129.401001
0.115238, 0.979522, 0.232429,  --- 132.399994
0.121586, 0.963408, 0.226569,  --- 134.399994
0.108402, 0.973662, 0.227546,  --- 137.399994
0.109378, 0.968779, 0.229011,  --- 139.399994
0.109378, 0.975615, 0.243171,  --- 141.399994
0.093753, 0.959990, 0.243171,  --- 143.399994
0.121586, 0.962431, 0.228523,  --- 152.039001
0.111820, 0.982940, 0.233894,  --- 154.052994
0.110843, 0.978545, 0.232429,  --- 157.014999
0.109378, 0.969267, 0.242683,  --- 160.005997
0.115238, 0.971709, 0.236824,  --- 172.005997
0.118656, 0.968779, 0.229011,  --- 173.880005
0.109378, 0.007324, 0.252937,  --- 176.477997
0.125004, 0.969267, 0.239265,  --- 187.343002
0.117679, 0.970732, 0.233405,  --- 187.343002
0.114750, 0.971221, 0.237800,  --- 187.343002
0.109378, 0.970244, 0.229011,  --- 187.343002
0.116214, 0.972197, 0.223151,  --- 187.343002
0.119633, 0.969267, 0.218757,  --- 197.345001
0.116703, 0.959502, 0.229499,  --- 207.347000
0.122074, 0.975615, 0.245125,  --- 207.347000
0.116703, 0.964385, 0.234382,  --- 207.347000
0.109378, 0.964873, 0.234382,  --- 207.347000
0.109378, 0.014649, 0.231452,  --- 207.347000
0.109378, 0.963896, 0.236824,  --- 228.632004
0.139653, 0.967803, 0.247078,  --- 230.503998
0.112308, 0.972197, 0.232917,  --- 232.438995
0.114261, 0.964873, 0.239753,  --- 234.720993
0.119144, 0.969267, 0.220710,  --- 236.725998
0.115726, 0.963408, 0.243171,  --- 238.731003
0.122074, 0.968779, 0.238288,  --- 241.748001
0.109378, 0.966338, 0.251472,  --- 248.725998
0.120609, 0.964385, 0.239265,  --- 250.725998
0.109378, 0.980010, 0.225593,  --- 253.723999
0.112796, 0.960966, 0.242195,  --- 253.723999
0.121586, 0.966826, 0.239265,  --- 253.723999
0.109378, 0.953154, 0.233894,  --- 253.723999
0.109378, 0.969756, 0.248543,  --- 253.723999
0.125980, 0.970244, 0.009766,  --- 263.726013
0.124515, 0.968291, 0.233894,  --- 263.726013
0.121097, 0.964873, 0.223640,  --- 263.726013
0.118168, 0.971221, 0.233894,  --- 273.727997
0.121097, 0.961455, 0.230476,  --- 273.727997
0.109378, 0.969756, 0.237800,  --- 273.727997
0.109378, 0.976592, 0.237800,  --- 273.727997
0.114750, 0.974639, -0.004883,  --- 283.726990
0.125492, 0.967314, 0.235359,  --- 283.726990
0.110843, 0.964873, 0.241707,  --- 293.949005
0.109378, 0.971709, 0.223640,  --- 296.419006
0.114261, 0.970732, 0.223640,  --- 298.463989
0.118656, 0.972197, 0.244148,  --- 301.354004
0.120121, 0.975127, 0.242683,  --- 303.358002
0.109378, 0.968779, 0.239753,  --- 305.358002
0.105960, 0.978057, 0.254402,  --- 308.358002
0.112796, 0.964873, 0.231452,  --- 314.450012
0.117679, 0.961943, 0.229011,  --- 317.455994
0.109378, 0.968291, 0.231452,  --- 319.825012
0.109378, 0.969756, 0.229011,  --- 319.825012
0.109378, 0.967803, 0.239753,  --- 319.825012
0.119144, 0.971709, 0.223640,  --- 319.825012
0.120121, 0.965849, 0.224616,  --- 337.339996
0.113773, 0.972197, 0.246589,  --- 337.339996
0.109378, 0.967314, 0.226569,  --- 337.339996
0.109378, 0.965849, 0.241707,  --- 337.339996
0.120609, 0.973174, 0.238288,  --- 337.339996
0.117679, 0.969267, 0.229987,  --- 347.338989
0.116214, 0.974639, 0.244636,  --- 347.338989
0.109867, 0.977080, 0.242683,  --- 357.585999
0.119633, 0.967314, 0.229499,  --- 360.601990
0.108890, 0.969267, 0.237312,  --- 363.266998
0.125004, 0.967314, 0.238777,  --- 365.235992
0.115238, 0.972197, 0.233405,  --- 367.234009
0.116214, 0.969267, 0.234382,  --- 369.233002
0.109378, 0.964385, 0.239265,  --- 371.234009
0.115238, 0.981963, 0.236824,  --- 379.239990
0.114750, 0.973174, 0.250008,  --- 382.234009
0.118656, 0.961943, 0.233894,  --- 384.234009
0.116703, 0.967803, 0.231452,  --- 386.234009
0.109378, 0.977569, 0.243171,  --- 396.278015
0.109378, 0.972686, 0.242195,  --- 400.268005
0.109378, 0.970732, 0.240242,  --- 402.261993
0.109378, 0.963896, 0.231452,  --- 404.269989
0.109378, 0.966338, 0.251472,  --- 416.269012
0.109378, 0.963408, 0.239753,  --- 417.286011
0.115238, 0.967314, 0.235847,  --- 418.402008
0.109378, 0.971221, 0.246101,  --- 418.402008
0.116703, 0.969756, 0.227546,  --- 418.402008
0.114261, 0.964385, 0.241707,  --- 418.402008
0.109378, 0.969756, 0.242683,  --- 427.441010
0.109867, 0.974639, 0.240242,  --- 427.441010
0.115726, 0.966338, 0.255379,  --- 437.487000
0.120609, 0.976592, 0.238777,  --- 437.487000
0.114750, 0.977569, 0.243660,  --- 437.487000
0.104007, 0.959502, 0.229011,  --- 437.487000
0.116214, 0.974639, 0.238288,  --- 437.487000
0.109378, 0.978057, 0.237312,  --- 447.483002
0.120121, 0.966826, 0.246101,  --- 447.483002
0.093753, 0.975127, 0.248054,  --- 457.763000
0.109378, 0.973662, 0.237312,  --- 460.794006
0.114750, 0.962431, 0.229499,  --- 462.795013
0.110843, 0.969267, 0.253426,  --- 464.795013
0.109867, 0.968779, 0.229987,  --- 466.795013
0.114261, 0.964385, 0.238777,  --- 468.795013
0.093753, 0.970732, 0.226081,  --- 470.795013
0.109378, 0.967803, 0.229987,  --- 472.795013
0.109867, 0.965849, 0.224128,  --- 480.795013
0.109378, 0.965849, 0.229499,  --- 482.795990
0.115726, 0.969267, 0.232429,  --- 485.019012
0.116703, 0.982940, 0.232429,  --- 485.019012
0.109378, 0.980498, 0.238777,  --- 485.019012
0.116214, 0.961455, 0.240730,  --- 485.019012
0.116703, 0.981475, 0.236824,  --- 485.019012
0.113285, 0.006836, 0.229499,  --- 495.053009
0.111820, 0.961943, 0.248543,  --- 495.053009
0.109378, 0.967314, 0.223151,  --- 505.023010
0.109378, 0.977080, 0.241707,  --- 505.023010
0.116214, 0.959502, 0.243660,  --- 505.023010
0.119144, 0.965849, 0.229011,  --- 505.023010
0.121097, 0.975615, 0.233405,  --- 515.067993
0.109378, 0.962920, 0.235847,  --- 526.382019
0.109378, 0.967314, -0.015625,  --- 528.416016
0.109378, 0.959990, 0.231452,  --- 531.346008
0.118168, 0.967803, 0.241707,  --- 534.344971
0.109378, 0.981963, 0.240730,  --- 536.344971
0.128910, 0.966826, 0.246589,  --- 538.344971
0.116703, 0.971709, 0.239265,  --- 540.344971
0.115726, 0.963408, 0.230476,  --- 547.344971
0.109378, 0.974639, 0.234870,  --- 549.346985
0.106937, 0.962431, 0.245125,  --- 550.445984
0.093753, 0.969267, 0.247566,  --- 550.445984
0.121586, 0.968779, 0.246589,  --- 550.445984
0.109378, 0.967314, 0.237800,  --- 550.445984
0.106937, 0.975127, 0.245125,  --- 560.447998
0.111331, 0.972197, 0.253426,  --- 560.447998
0.109378, 0.967314, 0.231452,  --- 570.447998
0.109378, 0.966338, 0.224128,  --- 570.447998
0.116214, 0.968779, 0.228523,  --- 570.447998
0.109378, 0.968291, 0.239265,  --- 570.447998
0.109378, 0.968779, 0.230476,  --- 570.447998
0.109378, 0.970732, 0.239753,  --- 580.447998
0.115238, 0.969267, 0.230476,  --- 580.447998
0.109378, 0.954130, 0.229987,  --- 591.723022
0.109378, 0.972197, 0.242683,  --- 594.721008
0.120609, 0.963408, 0.220221,  --- 596.723022
0.119633, 0.973662, 0.235847,  --- 599.721985
0.112308, 0.967803, 0.235359,  --- 601.721985
0.116703, 0.971221, 0.228034,  --- 603.723999
0.115238, 0.974639, 0.237800,  --- 605.721985
0.119633, 0.968291, 0.232429,  --- 612.723022
0.109378, 0.968779, 0.242195,  --- 614.690002
0.120121, 0.970244, 0.235847,  --- 616.870972
0.120121, 0.967314, 0.209967,  --- 616.870972
0.109378, 0.969267, 0.237312,  --- 616.870972
0.115238, 0.964385, 0.238777,  --- 616.870972
0.125004, 0.971221, 0.242683,  --- 616.870972
0.000000, 0.968291, 0.229987,  --- 626.906006
0.116703, 0.962431, 0.236824,  --- 626.906006
0.106937, 0.969756, 0.224616,  --- 640.028015
0.118656, 0.968779, 0.237312,  --- 642.328003
0.109378, 0.966826, 0.228523,  --- 643.366028
0.109378, 0.967314, 0.234382,  --- 643.366028
0.109378, 0.972686, 0.247566,  --- 643.366028
0.109378, 0.962920, 0.229987,  --- 643.366028
0.108402, 0.974639, 0.237312,  --- 659.732971
0.109378, 0.967803, 0.214362,  --- 662.734985
0.116703, 0.973174, 0.236824,  --- 664.732971
0.109378, 0.975615, 0.241707,  --- 666.739014
0.123051, 0.961943, 0.249519,  --- 668.731995
0.125004, 0.971221, 0.254402,  --- 679.742981
0.108890, 0.969756, 0.224128,  --- 682.700012
0.115726, 0.978057, 0.242195,  --- 693.734985
0.109378, 0.974639, 0.221686,  --- 697.750000
0.117679, 0.971221, 0.226081,  --- 699.737000
0.109378, 0.970732, 0.236824,  --- 701.731995
0.118656, 0.973174, 0.242683,  --- 703.737976
0.114261, 0.962920, 0.243171,  --- 706.453979
0.124943, 0.974639, 0.248543,  --- 708.458984
0.109378, 0.964385, 0.240242,  --- 710.453979
0.109378, 0.973174, 0.228034,  --- 712.479980
0.109378, 0.971709, 0.237312,  --- 714.482971
0.116703, 0.969756, 0.236824,  --- 721.005005
0.109378, 0.966826, 0.235359,  --- 724.008972
0.125004, 0.967803, 0.236824,  --- 726.008972
0.109378, 0.969756, 0.225593,  --- 728.008972
0.109378, 0.969267, 0.228523,  --- 730.008972
0.110843, 0.973662, 0.231452,  --- 734.007996
0.009278, 0.973662, 0.243171,  --- 741.067993
0.109378, 0.985381, 0.238288,  --- 744.067017
0.109378, 0.965849, -0.008301,  --- 746.067993
0.116214, 0.975127, 0.241707,  --- 753.638000
0.120609, 0.973662, 0.240242,  --- 757.736023
0.112796, 0.967803, 0.227546,  --- 759.734009
0.119144, 0.960966, 0.220710,  --- 761.734009
0.109378, 0.976104, 0.237800,  --- 773.734985
0.109378, 0.972197, 0.242683,  --- 775.229004
0.115238, 0.963408, 0.240730,  --- 777.234009
0.114750, 0.969756, 0.238777,  --- 781.237000
0.109378, 0.974639, 0.227546,  --- 790.255005
0.115726, 0.967314, 0.224616,  --- 792.257019
0.109378, 0.975615, 0.245125,  --- 804.151001
0.126469, 0.963896, 0.231452,  --- 807.156006
0.109378, 0.974639, -0.002930,  --- 809.156006
0.109378, 0.976592, 0.252449,  --- 814.322998
0.120609, 0.969267, 0.234382,  --- 814.322998
0.109378, 0.970244, 0.235359,  --- 824.325989
0.000000, 0.977569, 0.229987,  --- 836.591003
0.112796, 0.971709, 0.237800,  --- 838.640015
0.109378, 0.967803, 0.248054,  --- 841.700989
0.109378, 0.975127, 0.249519,  --- 843.718018
0.119144, 0.971709, 0.231452,  --- 850.989014
0.107913, 0.970244, 0.230964,  --- 850.989014
0.118656, 0.971709, 0.246589,  --- 850.989014
0.109378, 0.973174, 0.240730,  --- 850.989014
0.109378, 0.964873, 0.241707,  --- 860.995972
0.109378, 0.969267, 0.218757,  --- 872.588013
0.106449, 0.973662, 0.240242,  --- 874.585999
0.111331, 0.968779, 0.246589,  --- 876.588013
0.115726, 0.973662, 0.233894,  --- 880.807983
0.109378, 0.966338, 0.238288,  --- 880.807983
0.109378, 0.966826, 0.228523,  --- 890.812988
0.125980, 0.976104, 0.231452,  --- 900.812012
0.109378, 0.973662, 0.219733,  --- 916.052979
0.116214, 0.964385, 0.237800,  --- 919.085999
0.109378, 0.966338, 0.226569,  --- 920.094971
0.116703, 0.965849, 0.221198,  --- 932.604004
0.119633, 0.975615, 0.225593,  --- 935.604004
0.110843, 0.962920, 0.251961,  --- 940.604004
0.121586, 0.969267, 0.233894,  --- 946.718994
0.109378, 0.971221, 0.232917,  --- 946.718994
0.109378, 0.974639, 0.245125,  --- 946.718994
0.116703, 0.962431, 0.225593,  --- 956.721985
0.120121, 0.971709, 0.231452,  --- 966.721985
0.115238, 0.965849, 0.240242,  --- 966.721985
0.116703, 0.966826, 0.234382,  --- 966.721985
0.109378, 0.968291, 0.220221,  --- 966.721985
0.122562, 0.973662, 0.234870,  --- 976.719971
0.112308, 0.977569, 0.229987,  --- 987.909973
0.114750, 0.963408, 0.240730,  --- 989.622009
0.114750, 0.966826, 0.242683,  --- 991.622986
0.109378, 0.967803, 0.238777,  --- 993.622009
0.122562, 0.966826, 0.238288,  --- 995.620972
0.114261, 0.972686, 0.218757,  --- 997.622009
0.109378, 0.974639, 0.222175,  --- 999.622009
0.109378, 0.968291, 0.232917,  --- 1005.622009
